                      CONFIG                              TIME          COST            PRED_TIME              COST_TIME    
           2x m5n.large & 4x c5n.large              8.40987398727e-05   0.67      0.018 (0.006 + 0.012)     6.0 (2.0 + 4.0) 
          2x m5n.large & 1x c5n.2xlarge             0.000336394959491   0.67      0.007 (0.006 + 0.001)     3.0 (2.0 + 1.0) 
            2x m5n.large & 2x c5.large              0.000280329132909   0.408     0.012 (0.006 + 0.006)     4.0 (2.0 + 2.0) 
            5x m5n.large & 3x c5.large              0.000124590725737   0.85      0.024 (0.015 + 0.009)     8.0 (5.0 + 3.0) 
            7x m5n.large & 1x r5.large              0.00130217403674    0.959     0.024 (0.021 + 0.003)     8.0 (7.0 + 1.0) 
            3x m5n.large & 4x r5.large              8.13858772961e-05   0.861     0.021 (0.009 + 0.012)     7.0 (3.0 + 4.0) 
            1x m5n.large & 1x r5.large              0.00130217403674    0.245     0.006 (0.003 + 0.003)     2.0 (1.0 + 1.0) 
            2x m5n.large & 4x r5.large              8.13858772961e-05   0.742     0.018 (0.006 + 0.012)     6.0 (2.0 + 4.0) 
            1x m5n.large & 4x c5.large              7.00822832272e-05   0.459     0.015 (0.003 + 0.012)     5.0 (1.0 + 4.0) 
          4x m5n.large & 1x c5n.2xlarge             0.000336394959491   0.908     0.013 (0.012 + 0.001)     5.0 (4.0 + 1.0) 
           2x m5n.large & 1x m5n.xlarge             0.000651087018369   0.476     0.009 (0.006 + 0.003)     3.0 (2.0 + 1.0) 
            2x m5n.large & 1x c5.large              0.00112131653164    0.323     0.009 (0.006 + 0.003)     3.0 (2.0 + 1.0) 
            3x m5n.large & 1x r5.large              0.00130217403674    0.483     0.012 (0.009 + 0.003)     4.0 (3.0 + 1.0) 
            2x m5n.large & 3x r5.large              0.000144686004082   0.616     0.015 (0.006 + 0.009)     5.0 (2.0 + 3.0) 
            1x m5n.large & 1x c5.large              0.00112131653164    0.204     0.006 (0.003 + 0.003)     2.0 (1.0 + 1.0) 
           3x m5n.large & 2x c5n.large              0.000336394959491   0.573     0.015 (0.009 + 0.006)     5.0 (3.0 + 2.0) 
           2x m5n.large & 3x c5n.xlarge             7.47544354424e-05   0.886     0.015 (0.006 + 0.009)     5.0 (2.0 + 3.0) 
            4x m5n.large & 1x r5.large              0.00130217403674    0.602     0.015 (0.012 + 0.003)     5.0 (4.0 + 1.0) 
           1x m5n.large & 3x r5.xlarge              7.2343002041e-05    0.875     0.012 (0.003 + 0.009)     4.0 (1.0 + 3.0) 
            1x m5n.large & 4x r5.large              8.13858772961e-05   0.623     0.015 (0.003 + 0.012)     5.0 (1.0 + 4.0) 
           2x m5n.large & 2x m5n.large              0.000325543509185   0.476     0.012 (0.006 + 0.006)     4.0 (2.0 + 2.0) 
           3x m5n.large & 1x c5n.large              0.00134557983796    0.465     0.012 (0.009 + 0.003)     4.0 (3.0 + 1.0) 
           2x m5n.large & 1x r5.2xlarge             0.000325543509185   0.742     0.007 (0.006 + 0.001)     3.0 (2.0 + 1.0) 
          4x m5n.large & 1x m5n.2xlarge             0.000325543509185   0.952     0.013 (0.012 + 0.001)     5.0 (4.0 + 1.0) 
            1x m5n.large & 3x c5.large              0.000124590725737   0.374     0.012 (0.003 + 0.009)     4.0 (1.0 + 3.0) 
            6x m5n.large & 3x c5.large              0.000124590725737   0.969     0.027 (0.018 + 0.009)     9.0 (6.0 + 3.0) 
            5x m5n.large & 1x r5.large              0.00130217403674    0.721     0.018 (0.015 + 0.003)     6.0 (5.0 + 1.0) 
          2x m5n.large & 1x c5n.2xlarge             0.000336394959491   0.67      0.007 (0.006 + 0.001)     3.0 (2.0 + 1.0) 
            2x m5n.large & 2x c5.large              0.000280329132909   0.408     0.012 (0.006 + 0.006)     4.0 (2.0 + 2.0) 
          1x m5n.large & 1x c5n.2xlarge             0.000336394959491   0.551     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x r5.2xlarge             0.000325543509185   0.623     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x r5.2xlarge             0.000325543509185   0.623     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x m5dn.large             0.00130217403674    0.255     0.006 (0.003 + 0.003)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x c5n.2xlarge             0.000336394959491   0.551     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x m5dn.2xlarge            0.000325543509185   0.663     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x c5.4xlarge             0.000140164566454   0.799     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x c5n.4xlarge             0.000168197479745   0.983     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x m5dn.xlarge             0.000651087018369   0.391     0.006 (0.003 + 0.003)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x m5dn.large             0.00130217403674    0.255     0.006 (0.003 + 0.003)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x c5.4xlarge             0.000140164566454   0.799     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x r5.2xlarge             0.000325543509185   0.623     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x m5dn.2xlarge            0.000325543509185   0.663     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x c5n.xlarge             0.000672789918981   0.335     0.006 (0.003 + 0.003)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x r5.2xlarge             0.000325543509185   0.623     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x r5.2xlarge             0.000325543509185   0.623     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x c5n.2xlarge             0.000336394959491   0.551     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x c5.4xlarge             0.000140164566454   0.799     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x c5n.4xlarge             0.000168197479745   0.983     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x c5n.large              0.00134557983796    0.227     0.006 (0.003 + 0.003)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x m5n.2xlarge             0.000325543509185   0.595     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x c5n.large              0.00134557983796    0.227     0.006 (0.003 + 0.003)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x c5.4xlarge             0.000140164566454   0.799     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x c5n.2xlarge             0.000336394959491   0.551     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x r5.xlarge              0.000651087018369   0.371     0.006 (0.003 + 0.003)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x m5dn.xlarge             0.000651087018369   0.391     0.006 (0.003 + 0.003)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x m5n.2xlarge             0.000325543509185   0.595     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x c5.xlarge              0.000560658265818   0.289     0.006 (0.003 + 0.003)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x c5.4xlarge             0.000140164566454   0.799     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x m5dn.2xlarge            0.000325543509185   0.663     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x c5.4xlarge             0.000140164566454   0.799     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x r5.2xlarge             0.000325543509185   0.623     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x c5n.4xlarge             0.000168197479745   0.983     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x c5n.2xlarge             0.000336394959491   0.551     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x c5n.9xlarge             7.47544354424e-05   2.063     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
